gene	number	code	class
ZBTB22	1	1000000	Transcription factor
ZBTB24	1	1000000	Transcription factor
ZBTB25	1	1000000	Transcription factor
ZBTB26	1	1000000	Transcription factor
ZBTB3	1	1000000	Transcription factor
ZBTB32	1	1000000	Transcription factor
ZBTB33	2	1000100	Chromatin remodeller,Transcription factor
ZBTB37	1	1000000	Transcription factor
ZBTB39	1	1000000	Transcription factor
ZBTB40	1	1000000	Transcription factor
ZBTB4	1	1000000	Transcription factor
ZBTB42	1	1000000	Transcription factor
ZBTB43	1	1000000	Transcription factor
ZBTB44	1	1000000	Transcription factor
ZBTB45	1	1000000	Transcription factor
ZBTB46	1	1000000	Transcription factor
ZBTB48	1	1000000	Transcription factor
ZBTB49	1	1000000	Transcription factor
ZBTB5	1	1000000	Transcription factor
ZBTB6	1	1000000	Transcription factor
ZBTB7A	1	1000000	Transcription factor
ZBTB7B	1	1000000	Transcription factor
ZBTB7C	1	1000000	Transcription factor
ZBTB8A	1	1000000	Transcription factor
ZC3H11A	2	1001000	RNA binding protein,Transcription factor
ZC3H7A	2	1010000	Transcription factor,Others
ZC3H8	2	1001000	RNA binding protein,Transcription factor
