motif	TR
HM02334	ISL1
HM05260	ISL1
HM07856	ISL1
HM00486	ISL2
HM03663	ISL2
HM07861	ISL2
HM07798	ISX
HM07799	ISX
HM03153	ITGB2
HM05709	IVD
HM06892	JARID2
HM06894	JARID2
HM06896	JARID2
HM05711	JDP2
HM09545	JDP2
HM06898	JMJD1C
HM06900	JMJD1C
HM06901	JMJD1C
HM06904	JMJD6
HM06905	JMJD6
HM06535	JUNB
HM10303	JUNB
HM06537	JUND
HM06538	JUND
HM02338	JUN
HM06510	JUN
HM06908	KAT2B
HM06909	KAT2B
HM06910	KAT2B
HM04648	KAT5
HM04650	KAT5
HM04651	KAT5
HM04653	KAT7
HM04655	KAT7
HM04657	KAT7
HM05712	KCNIP1
HM06912	KDM1A
HM06916	KDM1A
HM00743	KDM2B
HM06918	KDM4A
HM06920	KDM4A
HM06924	KDM4B
HM06925	KDM4B
HM06927	KDM4C
HM06928	KDM4C
HM06929	KDM4C
HM06932	KDM5A
HM06933	KDM5A
HM04664	KDM5B
HM04665	KDM5B
HM04669	KDM5C
HM04671	KDM5C
HM05710	KDM5D
HM06942	KDM6B
HM06943	KDM6B
HM06946	KDM6B
HM09015	KLF10
HM09018	KLF11
HM10987	KLF11
HM09010	KLF12
HM10306	KLF12
HM00015	KLF13
HM09019	KLF13
HM09022	KLF13
HM01760	KLF14
HM09023	KLF14
HM09024	KLF14
HM05267	KLF15
HM08999	KLF15
HM10309	KLF15
HM03768	KLF16
HM09025	KLF16
HM09026	KLF16
HM09028	KLF17
HM09029	KLF17
HM02341	KLF1
HM05268	KLF1
HM09011	KLF2
HM02342	KLF3
HM05715	KLF3
HM09003	KLF3
HM05479	KLF4
HM05716	KLF4
HM06026	KLF4
HM00945	KLF5
HM05271	KLF5
HM09005	KLF5
HM02344	KLF6
HM05272	KLF6
HM09006	KLF6
HM00729	KLF7
HM10315	KLF7
HM02345	KLF8
HM00732	KLF9
HM06463	KLF9
HM04673	KMT2A
HM04674	KMT2A
HM06948	KMT2A
HM06954	KMT2B
HM06955	KMT2B
HM06958	L3MBTL2
HM06960	L3MBTL2
HM06961	L3MBTL2
HM05717	LARP1
HM05718	LARP4
HM05719	LAS1L
HM06209	LBX1
HM00490	LBX2
HM07509	LBX2
HM07511	LBX2
HM00816	LCOR
HM06965	LDB1
HM06966	LDB1
HM02346	LEF1
HM08445	LEF1
HM03666	LHX1
HM07845	LHX1
HM07846	LHX1
HM01766	LHX2
HM02347	LHX2
HM05721	LHX2
HM03122	LHX3
HM03432	LHX3
HM03668	LHX3
HM05722	LHX4
HM07854	LHX4
HM03670	LHX5
HM07848	LHX5
HM07849	LHX5
HM00495	LHX6
HM07826	LHX6
HM07828	LHX6
HM07831	LHX8
HM07834	LHX8
HM09560	LHX8
HM01771	LHX9
HM07820	LHX9
HM07822	LHX9
HM09090	LIN28B
HM00741	LIN54
HM05591	LINC00471
HM03016	LMO2
HM03017	LMO2
HM10793	LMO2
HM07843	LMX1A
HM07844	LMX1A
HM10327	LMX1A
HM04325	LMX1B
HM07839	LMX1B
HM07840	LMX1B
HM04680	LOC100379224
HM04681	LOC100379224
HM05723	LRRFIP1
HM06967	LRWD1
HM05724	LSM6
HM05725	LUZP1
HM05726	LUZP2
HM05278	LYL1
HM02349	MAFA
HM05480	MAFA
